ASSET,BKPREM,CHBAL,DEP,DEPDOM,EINTEXP,ELNATR,EQ,FREPO,INTAN,INTINC,LIAB,LNAG,LNATRES,LNAUTO,LNCI,LNCON,LNDEP,LNLSGR,LNLSNET,LNMUNI,LNRE,LNREAG,LNRECONS,LNREMULT,LNRENRES,LNRERES,NETINC,NIMY,NONII,NONIX,NUMEMP,ORE,ROA,ROE,SC,SCMUNI,SCUS,TRADE
51163,41,2717,46286,46286,95,0,4822,591,0,632,46341,12380,331,1103,5398,1343,0,31406,31075,0,12285,9425,0,150,2710,0,-27,4.174480862104148,21,289,8,0,-0.2035431586882774,-2.05,16059,947,13228,0
233312,2477,20829,205227,205227,877,210,23371,0,908,3384,209941,27401,2362,2464,29764,4189,0,186766,184404,415,124818,59480,5167,590,16249,43332,959,4.670931740956125,298,1601,34,435,1.6585848846535498,16.65,17400,3131,14185,0
136475,409,1318,111054,111054,807,0,13369,70,0,1369,123106,13372,1263,551,4866,820,0,61405,60142,456,41885,34825,150,0,1561,5349,112,1.755098216795228,27,463,14,0,0.33051997875228706,3.24,68673,58162,918,0
98811,478,1262,74900,74900,369,0,8107,2071,525,1289,90704,9125,803,2364,4280,2938,0,79170,78367,388,62439,19739,2957,668,4645,34430,129,4.103021518563942,122,910,23,0,0.5356002927117879,6.35,11855,3304,7845,0
119571,2021,2757,105815,105815,415,8,7262,3432,811,1365,112309,5140,838,978,16660,3306,0,82061,81223,0,55528,23994,0,0,115,31419,188,3.3804520909875366,60,806,21,0,0.6308142704951724,10.34,26250,11319,14931,0
52487,2021,882,48593,48593,220,0,3542,1475,0,515,48945,8725,316,71,5512,839,0,22210,21894,0,7134,3607,0,0,2719,808,-20,2.467174040311115,20,343,8,0,-0.15173211694752914,-2.21,24396,7094,17302,0
303827,1910,7265,267072,267072,1187,8,28926,15500,0,4028,274901,856,560,5349,17510,11649,0,210951,210391,0,180888,13082,41887,530,35678,89711,1063,4.043869076002249,321,1768,84,0,1.4188136288861377,14.79,54991,22153,23481,0
188607,2633,28974,162126,162126,731,15,19995,2263,0,2056,168612,3644,716,3601,5486,5807,0,68705,67989,0,53722,4476,3752,7852,11496,26146,315,2.958860671158924,171,1098,35,0,0.6691663037590152,6.34,83166,60274,22892,0
304380,4307,4861,252266,252266,1675,-75,24587,417,0,3462,279793,2031,1654,1945,9978,6192,0,201127,199473,911,181678,9749,19392,2525,33116,116896,305,2.52755898551109,248,1747,53,0,0.40073314457269366,4.94,82405,35695,46710,0
489097,3854,9110,368287,368287,4366,87,29524,0,0,6656,459573,840,1863,2212,17580,4058,0,378973,377110,172,356093,21637,91930,12443,71613,158470,469,2.0181901505270208,274,1831,52,0,0.3899299955104009,6.33,78287,30908,35837,0
324738,4471,25105,304146,304146,942,30,17597,6575,0,3490,307141,4418,2359,5099,33975,18571,0,160634,158275,0,103590,6205,6983,9305,31283,49814,915,3.4344019786899938,640,2039,60,0,1.144502868293049,21.06,118177,41659,76518,0
673060,27186,52751,518471,518471,1094,9,90512,145,4656,8626,582548,48,7773,2310,68190,8581,0,424568,416795,1932,345817,9816,66295,3041,167640,99025,714,4.970567272919251,3003,9772,196,0,0.4200259427788187,3.15,136858,64787,71607,0
1471624,20530,163072,1210622,1210622,7191,191,61285,0,13304,15556,1410339,597,6668,2258,68422,16611,0,667416,660748,3824,563499,10813,59561,25901,364679,102545,3244,2.5460414230134445,7219,9559,264,1234,0.9021053063341335,21.39,536569,175071,352160,0
