BKPREM,CHBAL,DEP,DEPDOM,EINTEXP,ELNATR,EQ,FREPO,INTAN,INTINC,LIAB,LNAG,LNATRES,LNAUTO,LNCI,LNCON,LNDEP,LNLSGR,LNLSNET,LNMUNI,LNRE,LNREAG,LNRECONS,LNREMULT,LNRENRES,LNRERES,NETINC,NONII,NONIX,NUMEMP,ORE,SC,SCMUNI,SCUS,TRADE,ROA,ROE,NIMY
0.0105505997,0.0213684746,0.8160529352,0.8160529352,0.0056022059,0.0025711535,0.1055134752,0.0001089472,0.0253350545,0.0136047309,0.8944865248,0.0052459679,0.0207378702,0.0018996778,0.1538914386,0.0967961535,0.0000000000,0.7656216075,0.7448837372,0.0044347305,0.4194030674,0.0087574194,0.0611300698,0.0369116917,0.2554627019,0.0571411847,0.0031915722,0.0049013338,0.0062319077,0.0001134598,0.0011500696,0.1347206027,0.0078171214,0.0898249522,0.0000000000,1.274489165278202,12.11,3.5772163970832382
0.0069184719,0.0310517298,0.8516313350,0.8516313350,0.0042121285,0.0001220907,0.0859457348,0.0545358723,0.0014711927,0.0113666424,0.9140542652,0.0261681026,0.0113483288,0.0227902604,0.0677786415,0.0415576329,0.0000000000,0.6397531326,0.6284048039,0.0000000000,0.4820302866,0.1072444540,0.0066010361,0.0257224716,0.2011993375,0.1412629874,0.0020633325,0.0011842796,0.0054228611,0.0001607527,0.0000000000,0.2614917853,0.0493714365,0.2121203489,0.0000000000,0.8421236215052961,9.62,3.0338427488375554
0.0213959352,0.0177864502,0.8567166936,0.8567166936,0.0028466350,0.0000000000,0.0972633760,0.0406478604,0.0000000000,0.0111697301,0.9027366240,0.0122859001,0.0044566500,0.0307107353,0.0937181309,0.0431572354,0.0000000000,0.4221692242,0.4177125742,0.0012125300,0.2709522777,0.0370825404,0.0080862101,0.0030674600,0.0615820706,0.1611339966,0.0041394650,0.0013932050,0.0055206251,0.0001405250,0.0001606000,0.4623834646,0.1184786362,0.2241976022,0.0000000000,1.6711274639911338,17.05,3.674505789606626
0.0079154637,0.0353176867,0.8323727598,0.8323727598,0.0051119250,0.0004129328,0.1071250551,0.0000000000,0.0065478301,0.0130211488,0.8928749449,0.0000000000,0.0109707996,0.0010963826,0.2008376847,0.0244588378,0.0000000000,0.7941645433,0.7831937437,0.0002870342,0.5683207471,0.0000000000,0.0851834560,0.0586614222,0.2879775247,0.1364983442,0.0029573332,0.0010798652,0.0053075634,0.0001049767,0.0000000000,0.1071503817,0.0113429897,0.0699471519,0.0019589534,1.1767571118258833,11.15,3.4253188335905542
0.0130495559,0.0480710064,0.9097820822,0.9097820822,0.0071314935,-0.0001361663,0.0842533175,0.0003050814,0.0000000000,0.0138725863,0.9157466825,0.0531134679,0.0105933920,0.0147740415,0.1219403523,0.0256535551,0.0000000000,0.7885682374,0.7779748454,0.0000000000,0.5874928685,0.1218395203,0.0475056578,0.0274754254,0.2346231210,0.1560491440,0.0029818692,0.0018821972,0.0056181518,0.0001559880,0.0003766118,0.1317107139,0.0804777196,0.0499282111,0.0000000000,1.163883941260863,14.05,2.7934816380902046
0.0002224203,0.1136545211,0.8543675454,0.8543675454,0.0050278881,0.0000223164,0.1384592153,0.0000000000,0.0001011677,0.0133124848,0.8615407847,0.0000000000,0.0092925548,0.0000000000,0.2825570445,0.0000000000,0.0000000000,0.7157647612,0.7064722064,0.0000000000,0.3797561857,0.0000000000,0.0135006866,0.0000000000,0.3661476365,0.0001078627,0.0045317198,0.0018061418,0.0042862393,0.0000468645,0.0000000000,0.1475390202,0.0000000000,0.1011506343,0.0000000000,1.7048493547171777,13.15,3.2255927337999006
0.0343579390,0.0226863566,0.7516408938,0.7516408938,0.0030204163,0.0000000000,0.1530723525,0.0000000000,0.0085745573,0.0120343478,0.8469276475,0.0000000000,0.0161498199,0.0018397388,0.0420616341,0.0042360183,0.0000000000,0.5302649990,0.5141151791,0.0017394714,0.4810562106,0.0005283757,0.0590823162,0.0187973313,0.2022450897,0.2004030977,0.0043971222,0.0009012805,0.0055180898,0.0001577241,0.0000000000,0.4005313049,0.0000000000,0.4005313049,0.0000000000,1.7772010108599139,11.55,3.9175627481450515
0.0088222508,0.1041280959,0.7849431965,0.7849431965,0.0034778273,-0.0000273605,0.1354315820,0.0000000000,0.0000000000,0.0116799061,0.8645684180,0.0037301522,0.0121784758,0.0017115531,0.0046816906,0.0054508255,0.0000000000,0.8897857063,0.8776072305,0.0000000000,0.8759169578,0.0994190448,0.0525747778,0.0050647381,0.0366904703,0.6821679268,0.0033683852,0.0001732834,0.0040463183,0.0001246424,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.3515574015455085,10.07,3.3828494048981104
0.0385943543,0.0313467529,0.8295362874,0.8295362874,0.0042631074,0.0001913137,0.1296469305,0.0000000000,0.0002423307,0.0125788771,0.8703530695,0.0000510170,0.0101332500,0.0191441262,0.0498372239,0.0404915487,0.0000000000,0.7761693254,0.7660360754,0.0055831720,0.6801967980,0.0010299055,0.0254734217,0.0000000000,0.5069462823,0.1467471885,0.0018844401,0.0012594820,0.0073177498,0.0001849366,0.0005356784,0.1214523262,0.0608409513,0.0481887374,0.0000000000,0.7622892539464753,5.85,3.704782265911884
0.0325935484,0.0352580645,0.8806645161,0.8806645161,0.0047290323,0.0001935484,0.0805096774,0.0000000000,0.0000000000,0.0141935484,0.9194903226,0.0008000000,0.0100129032,0.0684000000,0.1298129032,0.1324709677,0.0000000000,0.7614903226,0.7514774194,0.0000000000,0.4972000000,0.0000709677,0.0558193548,0.0208709677,0.1188258065,0.3016129032,0.0023032258,0.0011483871,0.0077096774,0.0001935484,0.0010645161,0.1635870968,0.0950258065,0.0625935484,0.0000000000,0.9172779711969578,11.58,4.028905405173449
