timestamp,demo_api_http_requests_in_progress,demo_disk_usage_bytes,methodGET_status200,methodGET_status404,node_load1,node_load15,node_load5,node_memory_Buffers_bytes,node_memory_Cached_bytes,node_memory_MemAvailable_bytes,request_rate_total
1785199900,0,1.31408e+11,151.056,3.2386,0.33,0.35,0.34,8.68925e+07,6.42611e+09,7.19238e+09,177.667
1785200200,1,1.31557e+11,129.428,2.55088,0.28,0.31,0.29,8.68925e+07,6.42703e+09,7.19123e+09,150.723
1785200500,0,1.31705e+11,115.119,2.22456,0.85,0.35,0.46,8.68925e+07,6.43059e+09,7.19798e+09,134.221
1785200800,0,1.31854e+11,113.028,2.1193,1.06,0.55,0.86,8.68925e+07,6.43137e+09,7.1986e+09,131.537
1785201100,2,1.32e+11,114.344,2.14737,0.6,0.53,0.63,8.68925e+07,6.43216e+09,7.18957e+09,132.66
1785201400,1,1.32149e+11,120.302,2.33333,0.07,0.45,0.36,8.68925e+07,6.43293e+09,7.1924e+09,140.256
1785201700,2,1.32301e+11,137.87,2.81052,0.3,0.41,0.33,8.68925e+07,6.43399e+09,7.19511e+09,161.473
1785202000,0,1.32451e+11,163.189,3.67018,0.19,0.35,0.26,8.68925e+07,6.43477e+09,7.1969e+09,192.453
1785202300,4,1.32598e+11,187.249,4.61754,0.46,0.36,0.35,8.68925e+07,6.43568e+09,7.19521e+09,222.281
1785202600,2,1.32745e+11,195.884,5.12281,0.75,0.4,0.47,8.68925e+07,6.43647e+09,7.19473e+09,235.337
1785202900,2,1.32889e+11,194.8,4.97192,0.29,0.35,0.33,8.68925e+07,6.43726e+09,7.18904e+09,231.687
1785203200,0,1.33043e+11,177.558,4.21052,0.51,0.39,0.44,8.68925e+07,6.43805e+09,7.19647e+09,211.214
1785203500,2,1.33192e+11,147.856,3.2386,0.18,0.37,0.36,8.68925e+07,6.43897e+09,7.18991e+09,174.112
1785203800,0,1.33342e+11,128.881,2.55088,0.07,0.28,0.18,8.68925e+07,6.43976e+09,7.18237e+09,150.309
1785204100,0,1.33493e+11,117.418,2.22456,0.16,0.23,0.14,8.68925e+07,6.44475e+09,7.18931e+09,136.684
1785204400,1,1.33643e+11,111.347,2.11929,0.26,0.19,0.16,8.68925e+07,6.44564e+09,7.1994e+09,129.61
1785204700,1,1.33794e+11,114.242,2.14737,0.23,0.19,0.2,8.68925e+07,6.44657e+09,7.19256e+09,132.509
1785205000,0,1.33944e+11,121.495,2.33333,0.26,0.19,0.21,8.68925e+07,6.44749e+09,7.20147e+09,141.709
1785205300,0,1.34094e+11,137.828,2.81053,0.29,0.19,0.22,8.68925e+07,6.44828e+09,7.19289e+09,160.968
1785205600,2,1.34238e+11,162.508,3.66666,0.32,0.21,0.28,8.68925e+07,6.44906e+09,7.19387e+09,191.775
1785205900,2,1.34388e+11,186.291,4.61755,0.2,0.19,0.21,8.68925e+07,6.44998e+09,7.18592e+09,222.025
1785206200,0,1.34541e+11,199.551,5.12281,0.34,0.22,0.3,8.68925e+07,6.45077e+09,7.19233e+09,237.962
1785206500,0,1.34689e+11,190.951,4.97192,0.35,0.26,0.34,8.68925e+07,6.45156e+09,7.18678e+09,229
1785206800,0,1.34839e+11,176.596,4.21053,0.53,0.29,0.38,8.68925e+07,6.45234e+09,7.19342e+09,209.635
1785207100,1,1.34988e+11,151.505,3.23859,0.28,0.26,0.27,8.68925e+07,6.45326e+09,7.18539e+09,177.526
1785207400,0,1.35136e+11,126.565,2.55089,0.57,0.27,0.31,8.68925e+07,6.45403e+09,7.19584e+09,148.639
1785207700,0,1.35288e+11,117.179,2.22104,0.26,0.27,0.31,8.68925e+07,6.4209e+09,7.19269e+09,136
1785208000,2,1.35434e+11,113.077,2.1193,0.32,0.28,0.32,8.68925e+07,6.42168e+09,7.18404e+09,131.347
1785208300,1,1.3559e+11,113.256,2.14737,0.35,0.27,0.28,8.68925e+07,6.4226e+09,7.19113e+09,132.039
1785208600,2,1.35744e+11,121.172,2.33333,0.54,0.29,0.35,8.68925e+07,6.4234e+09,7.18113e+09,141.014
1785208900,1,1.35893e+11,137.972,2.81052,0.08,0.23,0.17,8.68925e+07,6.42433e+09,7.19151e+09,160.968
1785209200,1,1.36046e+11,164.018,3.66667,0.34,0.27,0.32,8.68925e+07,6.42526e+09,7.19963e+09,193.818
1785209500,1,1.36196e+11,183.877,4.61754,0.2,0.26,0.26,8.68925e+07,6.42615e+09,7.18964e+09,218.779
1785209800,2,1.36345e+11,198.705,5.12281,0.46,0.3,0.36,8.68925e+07,6.42727e+09,7.19335e+09,237.884
1785210100,1,1.36498e+11,195.695,4.97194,0.73,0.32,0.43,8.68925e+07,6.4282e+09,7.18868e+09,233.13
1785210400,2,1.36648e+11,173.41,4.21052,0.26,0.29,0.31,8.68925e+07,6.42899e+09,7.18943e+09,206.238
1785210700,0,1.368e+11,150.561,3.23859,0.22,0.33,0.35,8.68925e+07,6.42979e+09,7.1838e+09,177.291
1785211000,0,1.36947e+11,129.368,2.55438,0.21,0.27,0.23,8.68925e+07,6.43072e+09,7.19068e+09,150.666
1785211300,0,1.37096e+11,115.203,2.22105,0.09,0.24,0.17,8.68925e+07,6.43571e+09,7.19285e+09,134.449
1785211600,0,1.37246e+11,112.635,2.1193,0.22,0.26,0.25,8.68925e+07,6.43664e+09,7.18469e+09,131.228
1785211900,2,1.37393e+11,114.365,2.15087,0.32,0.27,0.29,8.68925e+07,6.43745e+09,7.1856e+09,132.705
1785212200,1,1.3754e+11,121.112,2.33334,0.69,0.33,0.44,8.68925e+07,6.43839e+09,7.19547e+09,141.014
1785212500,1,1.37691e+11,136.8,2.81754,0.71,0.37,0.5,8.68925e+07,6.43919e+09,7.1883e+09,160.498
1785212800,1,1.37839e+11,163.347,3.66666,0.46,0.38,0.46,8.68925e+07,6.44012e+09,7.18462e+09,192.61
1785213100,2,1.37992e+11,186.877,4.62105,0.43,0.35,0.36,8.68925e+07,6.44091e+09,7.18638e+09,222.105
1785213400,2,1.38144e+11,194.214,5.12281,0.65,0.35,0.38,8.68925e+07,6.44184e+09,7.18433e+09,233.537
1785213700,2,1.38293e+11,195.225,4.97193,0.24,0.36,0.39,8.68925e+07,6.44264e+09,7.18927e+09,232.253
1785214000,2,1.38447e+11,177.372,4.21404,0.4,0.34,0.33,8.68925e+07,6.44357e+09,7.18664e+09,211.036
1785214300,1,1.38597e+11,147.726,3.24211,0.51,0.33,0.33,8.68925e+07,6.44438e+09,7.18381e+09,173.954
1785214600,2,1.3875e+11,128.726,2.55438,0.2,0.29,0.24,8.68925e+07,6.4453e+09,7.18028e+09,150.186
1785214900,1,1.38902e+11,117.403,2.22456,0.41,0.29,0.3,8.68925e+07,6.44784e+09,7.18449e+09,136.667
1785215200,2,1.39053e+11,112.074,2.1228,0.3,0.25,0.23,8.68925e+07,6.44863e+09,7.19118e+09,130.309
1785215500,0,1.39204e+11,113.667,2.14737,0.2,0.25,0.22,8.68925e+07,6.44944e+09,7.18868e+09,131.996
1785215800,0,1.39357e+11,121.519,2.34035,0.35,0.3,0.37,8.68925e+07,6.45039e+09,7.19091e+09,141.758
1785216100,1,1.39508e+11,138.214,2.81754,0.31,0.31,0.38,8.68925e+07,6.45136e+09,7.18602e+09,161.323
1785216400,2,1.39659e+11,160.67,3.67017,0.38,0.31,0.35,8.68925e+07,6.4522e+09,7.17986e+09,190.168
1785216700,0,1.39806e+11,186.526,4.62105,0.24,0.35,0.38,8.68925e+07,6.45302e+09,7.1749e+09,222.189
1785217000,3,1.39953e+11,199.456,5.12281,0.31,0.36,0.39,8.68925e+07,6.45384e+09,7.18858e+09,237.695
1785217300,0,1.40104e+11,190.743,4.97192,0.33,0.32,0.3,8.68925e+07,6.45487e+09,7.18884e+09,228.989
1785217600,2,1.4025e+11,177.319,4.21403,0.27,0.33,0.31,8.68925e+07,6.45581e+09,7.18027e+09,210.038
1785217900,0,1.404e+11,151.264,3.24211,0.43,0.36,0.4,8.68925e+07,6.45663e+09,7.18229e+09,177.453
1785218200,2,1.40551e+11,126.909,2.55439,0.33,0.37,0.39,8.68925e+07,6.45756e+09,7.17569e+09,148.926
1785218500,0,1.40701e+11,116.611,2.22456,0.52,0.36,0.38,8.68925e+07,6.46257e+09,7.19407e+09,135.495
1785218800,1,1.40844e+11,112.874,2.1228,0.42,0.36,0.36,8.68925e+07,6.46339e+09,7.19081e+09,131.052
1785219100,1,1.40998e+11,113.923,2.14386,0.39,0.37,0.41,8.68925e+07,6.46421e+09,7.19345e+09,132.498
1785219400,1,1.41151e+11,119.916,2.33684,0.35,0.33,0.31,8.68925e+07,6.46537e+09,7.19599e+09,139.842
1785219700,1,1.41303e+11,137.653,2.81755,0.58,0.33,0.34,8.68925e+07,6.4662e+09,7.18889e+09,160.762
1785220000,0,1.41449e+11,163.176,3.66668,0.32,0.34,0.35,8.68925e+07,6.46716e+09,7.17997e+09,192.944
1785220300,0,1.41595e+11,180.793,4.61404,0.69,0.37,0.44,8.68925e+07,6.46799e+09,7.18585e+09,215.758
1785220600,3,1.41744e+11,197.772,5.1228,0.34,0.35,0.37,8.68925e+07,6.46895e+09,7.18463e+09,237.133
1785220900,0,1.41891e+11,194.958,4.97192,0.38,0.36,0.38,8.68925e+07,6.46989e+09,7.17964e+09,232.196
1785221200,1,1.42041e+11,172.828,4.21053,0.71,0.49,0.67,8.68925e+07,6.47072e+09,7.19392e+09,205.632
1785221500,2,1.42192e+11,150.761,3.23508,0.14,0.42,0.39,8.68925e+07,6.47168e+09,7.18557e+09,177.378
1785221800,0,1.42343e+11,128.99,2.55088,0.1,0.33,0.22,8.68925e+07,6.47264e+09,7.17681e+09,150.27
1785222100,2,1.42486e+11,115.919,2.22106,0.36,0.36,0.37,8.68925e+07,6.4397e+09,7.1914e+09,134.846
1785222400,0,1.42635e+11,111.878,2.11931,0.13,0.33,0.28,8.68925e+07,6.44066e+09,7.19511e+09,130.45
1785222700,0,1.42784e+11,114.231,2.15087,0.74,0.33,0.36,8.68925e+07,6.44163e+09,7.19316e+09,132.452
